Hyperparameter,Search Range,Selected
Patch Size,"{11, 13, 15}",15
PCA Components,"{16, 32, 64}",32
Spectral Conv Channels,"{16, 32, 64}",32
Conv Kernel Sizes,"{3}, {3,7}, {3,7,11}","{3, 7, 11}"
Transformer Layers,"{1, 2, 3, 4}",3
Attention Heads,"{2, 4, 8}",4
Token Dimension,"{32, 64, 128}",64
Learning Rate,"{1e-3, 5e-4, 1e-4}",5e-4
Batch Size,"{16, 32, 64, 128}",16
Dropout Rate,"{0.1, 0.2, 0.3, 0.5}",0.3
Optimizer,"{Adam, AdamW, SGD}",Adam
Epochs (max),30,30
Early Stopping Patience,"{5, 10, 15}",10
