Configuration,OA (%),F1 (%),Kappa,Params (M),Train (s)
No Ensemble (GAP only),99.85,99.85,0.9983,8.06,733.3
No Transformer,99.9,99.9,0.9989,7.91,481.9
No U-Net,99.03,98.85,0.9889,0.41,372.9
Single-scale Conv,99.81,99.81,0.9978,8.06,789.3
1 Trans Layer,99.61,99.62,0.9956,7.96,604.2
2 Trans Layers,99.95,99.95,0.9994,8.01,698.5
4 Trans Layers,99.81,99.81,0.9978,8.11,894.9
2 Attn Heads,99.81,99.81,0.9978,8.06,750.6
8 Attn Heads,99.85,99.86,0.9983,8.06,851.7
Spectral Dim 16,99.61,99.57,0.9956,8.05,788.2
Spectral Dim 64,99.95,99.95,0.9994,8.09,769.8
Token Dim 32,99.85,99.85,0.9983,7.9,644.3
Token Dim 128,99.61,99.61,0.9956,8.61,984.4
Dropout 0.1,100.0,100.0,1.0,8.06,755.7
Dropout 0.5,99.12,99.1,0.99,8.06,796.0
